,Word,Score
13671,nan river,1.0
519,dumb,1.0
7642,habitual,1.0
13675,thailand,1.0
13667,naan,1.0
13674,chao,1.0
13669,leavened,1.0
13670,oven,1.0
13673,flowing,1.0
13672,ping,1.0
10082,ages,1.0
18482,mute,1.0
13676,phraya,1.0
18483,deaden,1.0
11577,tangle,1.0
11567,prisoners,1.0
7933,humor,1.0
13668,teardrop,1.0
18484,deafness,1.0
2565,whooped,1.1
2579,wages,1.1
2564,ass,1.1
2016,map,1.1
11560,tighten,1.1
11554,piece of ass,1.1
22315,sense of humor,1.1
17153,argentina,1.1
11574,matted,1.1
22311,ingenuity,1.1
397,express,1.1
18485,obtuse,1.1
11568,similarly,1.1
17148,infancy,1.1
22310,humour,1.1
22317,wittiness,1.1
25544,tighten up,1.1
21218,spaced,1.1
11557,screw,1.1
1917,middle,1.1
22312,bodily fluid,1.1
7941,amusement,1.1
11552,nookie,1.1
2563,destroyed,1.2
2484,earnest,1.2
2483,jest,1.2
372,idiot,1.2
1213,trangs,1.2
2127,research,1.2
1215,affirmations,1.2
7931,jocularity,1.2
12531,cracked,1.2
11570,inclinedplane,1.2
3245,temporary,1.2
7938,teasing,1.2
7937,grotesque,1.2
17152,moron,1.2
12542,separated,1.2
22316,sense of humour,1.2
22313,body fluid,1.2
18235,map out,1.2
14572,distracted,1.2
25451,apex of the suns way,1.2
18486,apex,1.2
7949,unsuccessful,1.2
12707,cells,1.2
22314,liquid body substance,1.2
7950,jokes,1.2
15233,businessman,1.2
24743,temp,1.2
11565,screwing,1.2
15237,conservationist,1.2
11559,angled,1.2
24745,impermanent,1.2
11573,shag,1.2
18234,singlevalued function,1.2
19097,avowal,1.2
17155,aires,1.2
22729,hoop,1.2
11556,roll in the hay,1.2
11571,shank,1.2
27148,early childhood,1.2
7934,merriment,1.2
12541,baskets,1.2
17150,cretin,1.2
11553,nooky,1.2
11903,tint,1.2
11555,piece of tail,1.2
12539,fodder,1.2
7947,quips,1.2
2451,fastball,1.3
425,continuing,1.3
426,bother,1.3
424,sudoku,1.3
2478,meals,1.3
2350,justify,1.3
1730,guard,1.3
7935,joke,1.3
10353,judiciousness,1.3
22936,man of affairs,1.3
15229,escort,1.3
17156,retard,1.3
17154,buenos,1.3
15225,sentry,1.3
17147,changeling,1.3
16905,repast,1.3
19096,avouchment,1.3
11324,delineate,1.3
17210,barleycorn,1.3
11566,slotted,1.3
27147,babyhood,1.3
17592,enquiry,1.3
21220,disjointed,1.3
14571,businesslike,1.3
14508,elections,1.3
22728,basketball hoop,1.3
2562,terrible,1.3
7945,gag,1.3
15236,suite,1.3
12540,coverings,1.3
25452,solar apex,1.3
19665,pain in the ass,1.3
8039,cereal,1.3
22732,handbasket,1.3
14573,devout,1.3
19669,disoblige,1.3
19666,pain in the neck,1.3
15227,sentry go,1.3
7951,jape,1.3
11558,spirally,1.3
22730,field goal,1.3
25453,vertex,1.3
15231,mailorder,1.3
4892,executive,1.3
15226,sentry duty,1.3
11579,shredded,1.3
11562,propeller,1.3
22418,cleverly,1.3
19667,discommode,1.3
7936,triviality,1.3
11564,tapered,1.3
7932,facetious,1.3
15425,fearsome,1.3
2410,interested,1.4
1750,apartment,1.4
386,uh,1.4
2081,nowhere,1.4
2056,overprotective,1.4
2055,cares,1.4
502,understands,1.4
22417,bantering,1.4
15234,suffrage,1.4
12536,strawcolored,1.4
22419,tongueincheek,1.4
12529,wheat berry,1.4
24744,temporary worker,1.4
21221,dislocated,1.4
11563,threaded,1.4
19089,volcano,1.4
19088,honshu,1.4
19664,botheration,1.4
19670,incommode,1.4
12537,hats,1.4
19091,erupted,1.4
1824,danger,1.4
18687,surrendering,1.4
15230,ward,1.4
12533,pale yellow,1.4
12530,grains,1.4
11561,guards,1.4
1860,rooms,1.4
15424,dreaded,1.4
10351,forethought,1.4
18688,enumerates,1.4
15224,guard duty,1.4
1600,blame,1.4
10138,colony,1.4
3101,football,1.4
18684,come down,1.4
11569,motions,1.4
15228,safeguard,1.4
27807,safeconduct,1.4
7942,humorously,1.4
124,say,1.4
13640,vindicate,1.4
12532,flour,1.4
10359,give care,1.4
16296,opponents,1.4
22731,basketful,1.4
7944,anecdote,1.4
17114,bullet,1.4
10352,plotting,1.4
18689,accrue,1.4
17149,exchanged,1.4
7946,vomit,1.4
2343,occurred,1.5
2201,trouble,1.5
15426,frightening,1.5
9123,summarize,1.5
9088,fiction,1.5
18686,capitulation,1.5
15423,direful,1.5
11431,disadvantageous,1.5
20716,activation,1.5
18690,fall down,1.5
10357,precautionary,1.5
15198,decay,1.5
13260,accusation,1.5
13793,potent,1.5
16744,enrolling,1.5
2818,state,1.5
9097,standin,1.5
12538,scattering,1.5
19090,snowcapped,1.5
19668,inconvenience,1.5
10355,precaution,1.5
21943,worriment,1.5
28002,summarise,1.5
13791,briefer,1.5
1927,neighborhood,1.6
267,antisocial,1.6
2310,registration,1.6
2028,repeat,1.6
2365,climbed,1.6
2366,mt,1.6
2367,fuji,1.6
2374,traveled,1.6
1878,colonize,1.6
220,stupidest,1.6
1926,showed,1.6
2390,younger,1.6
9093,factor,1.6
9092,meanings,1.6
12022,peril,1.6
19086,fujisan,1.6
19085,prunus incisa,1.6
3772,harm,1.6
9087,retell,1.6
12937,inhabitants,1.6
18685,reprimand,1.6
9086,restate,1.6
3572,suit,1.6
17644,extension,1.6
19094,mount fuji,1.6
10356,practicing,1.6
9083,ingeminate,1.6
1219,broken,1.6
10733,colonise,1.6
20710,denizen,1.6
12939,humanity,1.6
9118,reduplication,1.6
13802,meitnerium,1.6
9116,identically,1.6
9120,recapitulate,1.6
8093,maintain,1.6
14211,alcoholic beverage,1.6
13806,machine translation,1.6
27794,strewing,1.6
13789,metabolism,1.6
13800,tonne,1.6
16742,enrollment,1.6
9085,reiterate,1.6
13794,exerts,1.6
14212,brew,1.6
16746,enrolment,1.6
9091,raising,1.6
13796,thyroid,1.6
16743,enroll,1.6
12938,human race,1.6
10358,impending,1.6
14995,asocial,1.6
17647,travelled,1.6
12024,incurring,1.6
26953,anchored,1.6
16745,readjustment,1.6
12940,humane,1.6
9102,dissimilar,1.6
17646,disregarded,1.6
13803,mont,1.6
352,japan,1.6
9122,embryonic,1.6
26384,humanness,1.6
20712,inhabits,1.6
8602,jr,1.6
2048,bucks,1.7
2445,kept,1.7
2573,excite,1.7
2047,twenty,1.7
2276,guys,1.7
10473,peak,1.7
3124,contract,1.7
19087,pilgrimages,1.7
14719,dollars,1.7
12023,undertaken,1.7
9115,identical,1.7
20715,indweller,1.7
13799,iodine,1.7
9084,iterate,1.7
19595,introduction,1.7
13787,metric ton,1.7
20713,dweller,1.7
8384,neck of the woods,1.7
21454,conserve,1.7
9107,twofold,1.7
17641,unbroken,1.7
19597,alternates,1.7
14213,alcoholic drink,1.7
8386,neighbourhood,1.7
9119,replicate,1.7
14214,inebriant,1.7
21453,asseverate,1.7
8385,surrounding,1.7
22582,thyroid gland,1.7
14736,upshot,1.7
14646,letter of the alphabet,1.7
13795,oxidation,1.7
8387,vicinity,1.7
14645,alphabetic character,1.7
21941,inconvenient,1.7
12936,human beings,1.7
22583,thyroidal,1.7
9124,phase,1.7
13788,t,1.7
26385,manhood,1.7
23016,metabolic process,1.7
7221,organism,1.7
13805,treasure state,1.7
9095,usual,1.7
13801,transuranic,1.7
9117,reduplicate,1.7
9101,petals,1.7
12941,humankind,1.7
21940,incommodiousness,1.7
19083,fuji cherry,1.7
20714,habitant,1.7
19093,fujiyama,1.7
19092,fujinoyama,1.7
21942,troublesomeness,1.7
9094,homologous,1.7
9090,double,1.7
9096,synapsis,1.7
20711,naturalized,1.7
26451,carefree,1.7
