Word,Score
should,3.0
into,4.24125842624963
went,3.0
again,2.4252311719450943
themselves,4.520436773463935
their,3.0
herself,3.0
himself,3.0
the,4.618018046212717
am,2.608197796249633
above,3.0
been,3.0
further,3.0
here,3.0
off,4.08217961566684
do,3.569158703348942
such,3.4030422794706654
only,3.8950041106395
she,3.0
out,3.389969857655376
and,3.211216779057607
each,2.991979766989448
we,3.0
an,4.751724735167183
this,3.0
during,3.0
it,4.619053769543044
nor,3.0
will,3.897969099465845
being,3.512995444418344
but,3.404971411917625
because,3.7557251831809344
does,3.0
doing,4.137478684682273
then,4.451570648603695
with,3.5775163170670194
her,3.0
yours,3.0
to,3.439149328845764
against,3.2849329924867905
own,3.0
same,3.906170182083044
on,4.279759982230008
as,3.308459464647618
some,3.6805865427643023
of,4.147598798486304
there,3.0
these,3.0
after,3.227112671487766
under,3.0
were,3.0
down,2.887628374573813
from,3.979720802882409
you,2.092278537068558
ourselves,3.0
theirs,3.0
up,4.575651940886296
aint,3.215868969680386
his,3.0
no,3.0
had,3.0
so,3.0
hers,3.0
in,3.4649149334710923
now,3.0
other,4.159186775534652
for,3.9923397335667343
any,3.0
can,3.0
our,3.0
while,3.0
that,2.660386598639456
than,3.0
a,4.41298440307631
did,3.0
are,3.0
having,3.0
i,5.0
him,3.660591651334212
itself,3.0
or,3.839438316235649
all,3.697336631496922
he,3.0
have,4.754286514031721
not,3.452653910166297
before,3.0
them,3.369569458711025
my,3.0
has,3.0
was,3.0
by,3.885682604594999
between,3.188723536941083
if,2.8020490625931167
until,3.0
at,3.622324397904922
both,3.0
through,3.479179920786803
ours,3.0
those,3.0
is,3.5813533013197265
they,3.0
let,4.940241593038518
us,4.061594193462764
try,3.775
something,3.448733746443972
go,3.355331008633413
sleep,3.3965803537521486
today,3.8764705882352937
june,4.2
muiriels,4.2
birthday,3.95
muiriel,4.4
password,4.25
be,3.7241379310344818
back,4.642082027096532
soon,3.9433696819754513
loss,1.8558132868199289
words,4.685835133555679
never,3.640625
going,3.4218406229572644
end,3.338076923277521
just,3.5079259983818813
know,3.103571428571428
what,3.159090909090909
say,1.4640253227321345
evil,4.469053657901023
bunny,4.2
mountains,4.408831248764358
recent,3.1
picture,3.4109476658891027
time,3.9379047451171294
education,3.975
world,4.585534334537336
disappoints,4.5
me,3.753942461623599
better,4.381876418696426
shape,3.5877349309720308
way,4.217889226247326
may,4.918570799531419
give,4.459996960704285
nap,2.2
instead,2.1666666666666665
want,4.934360501317053
alone,4.24
happen,4.861616227365489
sometimes,3.3353699279956044
strange,3.7061647415554098
guy,3.4
best,4.171428571428572
disturb,3.510548851682293
your,3.980314960629922
studying,2.95
wonder,3.133333333333333
everyone,3.8
else,2.111687966166324
suppose,2.833333333333333
different,3.8131223388185513
when,3.4433962264150937
think,3.4435897435897425
about,4.938058916381178
over,4.599549762195449
long,3.4341138203881005
term,2.6
miss,3.0197777444330494
call,3.911111111111112
tomorrow,4.050000000000001
come,3.696303182716159
always,3.665217391304348
liked,4.125
mysterious,4.2
characters,4.8
more,3.979557524623016
told,3.9444444444444446
send,4.051516909819547
another,2.786886761522881
ticket,4.1
impatient,4.5
cannot,3.472727272727273
live,3.89375
kind,3.507984871386768
life,3.615268516318675
once,4.133333333333334
wanted,3.5857142857142854
astrophysicist,3.6
biology,3.5804254148838712
last,3.650468814398271
person,3.235526229912772
idea,3.0173369823098466
thought,4.364408456101595
nuts,3.9
could,2.9173913043478263
trust,4.834918060435151
anyone,3.0571428571428574
unfortunately,2.6
true,4.504768091363504
too,3.763265306122448
busy,3.375592451702317
fighting,4.145484332243681
care,3.3076726083822123
common,4.2
ideals,3.4000000000000004
most,3.9533333333333327
people,3.6195719179916255
crazy,3.68
line,3.725360767378256
kicking,4.9
sure,3.670978505034488
problem,3.4666666666666663
oh,2.766666666666667
butterfly,3.5
hurry,3.5
surprise,3.41450775742568
reason,4.25
feel,3.6800000000000006
alive,3.233333333333333
night,3.241104187411487
depends,3.3
context,4.4
freaking,4.3
kidding,4.3
stupidest,1.6
thing,2.6271477887238066
ever,3.667152347874454
said,3.608333333333334
lame,4.1
cool,4.1
grow,2.7
king,4.75387653987969
america,3.1797766280649205
lovely,4.6
place,3.193395862821755
earn,4.6
money,3.927604040729487
fat,4.637040201847826
shoot,3.624689568452395
real,3.2578524229092016
fish,3.83440131859268
mere,3.9
plushy,3.9
saying,2.76
probably,3.2
influenced,3.05
decision,3.8987479232883056
wondered,3.0
would,5.0
like,3.2956246930653803
siblings,2.7
take,3.7968031279648553
forever,4.75
explain,4.278513692295149
everything,3.135954313116472
girl,3.7232810701160415
help,3.4872261651160867
showing,3.903908186231294
emotions,4.116950491478359
word,3.82
find,3.6538461538461537
substitute,2.8
program,3.187899804126073
intend,4.8
selfish,3.7
consider,4.179497694479357
worst,3.2428571428571424
how,5.0
many,3.088888888888889
close,3.4666666666666663
friends,4.827217174379135
antisocial,1.6
mean,3.4814656674698337
talk,3.457142857142857
impolite,4.3
one,2.599744495918394
unhappy,3.591499585190729
kill,4.2
myself,3.2285714285714286
high,3.3884801465506285
school,3.304912175945426
got,3.833333333333334
every,3.6357142857142857
morning,3.5125
woke,3.2
sad,2.966666666666667
somewhat,2.8
explained,2.0
learn,3.1037606801518742
new,4.644046370393939
things,4.332120655944404
write,4.986213201843219
daily,4.1
marshmallow,3.8
trang,3.2750000000000004
order,1.7991682420603723
risks,4.6
who,3.741591144916012
afraid,2.5333333333333337
others,3.941920698543832
why,2.6037037037037045
ask,3.466666666666667
artist,1.9
knack,1.9
tell,3.53076923076923
simple,3.966666666666667
anymore,3.311111111111112
flawed,4.2
flaws,4.2
easily,3.95
fixed,3.9666666666666655
whenever,2.766666666666667
expensive,2.95
stay,3.8004906119301913
maybe,2.7
exactly,2.1
innocence,4.95
beautiful,4.418181818181818
humans,2.4536334568299534
meant,5.0
lose,3.8125
ideas,4.377989313007529
even,4.348222262994216
though,3.3363636363636364
bit,4.25
extreme,3.650634132035676
theory,3.9680045680069647
intriguing,4.3
intentionally,3.266666666666666
hide,3.4595403117547647
good,4.971785652380741
looks,3.7
account,4.1125
forums,5.0
point,3.22458555433248
story,2.984597128929129
really,3.631173240471471
where,4.619796442193714
came,3.675
living,3.4
important,3.3502682528724925
asking,3.425
possible,3.1666666666666665
running,2.8172913654315908
away,4.307651001597029
lifes,4.7
problems,3.9649416968611626
look,4.407407407407407
lyrics,4.7
much,3.849765253535491
see,3.1051836946762705
physics,3.373114102962804
teacher,4.3
skip,4.8
classes,4.05
wish,3.1800000000000006
japan,1.6861310383340984
hate,4.32
lot,3.875
bed,2.301338661699035
left,4.01764801256823
realized,4.1
forgot,4.0
backpack,4.1
house,4.402433522866811
anything,3.86875
freeze,2.5
next,3.321784021658861
week,3.261746818002383
apologized,4.0
still,4.816479855633792
furious,4.0
police,3.526946222195656
get,3.666666666666666
bullets,4.7
thanks,4.4322090871857736
idiot,1.2
intention,3.126281788544277
explanation,3.082044246219888
theoretically,2.9
math,3.533523247478115
simply,3.25
almost,4.066666666666666
scared,2.9000000000000004
online,3.82731948396137
whole,3.634380474199466
day,3.427272727272728
computer,3.771956777873843
useful,3.741935564977357
freedom,3.182544609788131
uh,1.4
weird,3.0573432163273204
scare,4.2
dreamt,3.9
few,3.225
weeks,4.2
ago,3.547831255608085
expect,3.3405327929442943
schools,4.699999999999999
understand,4.445820956600492
mathematicians,4.466666666666666
express,1.138433848849811
explicitly,4.8
stupid,4.333333333333333
need,3.6384615384615375
silly,2.1
question,3.401672828843745
demonstrate,4.0
since,3.875
obvious,4.566666666666666
