id,language,Sentence,Score,
0,eng,Let's try something.,3.5,
1,eng,I have to go to sleep.,3.7,
2,eng,Today is June 18th and it is Muiriel's birthday!,4.2,
3,eng,Muiriel is 20 now.,4.8,
4,eng,"The password is ""Muiriel"".",4.8,
5,eng,I will be back soon.,4.6,
6,eng,I'm at a loss for words.,4.1,
7,eng,This is never going to end.,4.2,
8,eng,I just don't know what to say.,2.3,
9,eng,That was an evil bunny.,4.2,
10,eng,I was in the mountains.,4.6,
11,eng,Is it a recent picture?,2.3,
12,eng,I don't know if I have the time.,1.9,
13,eng,Education in this world disappoints me.,4.5,
14,eng,You're in better shape than I am.,4.7,
15,eng,You are in my way.,4.9,
16,eng,I may give up soon and just nap instead.,2.2,
17,eng,It's because you don't want to be alone.,4.3,
18,eng,That won't happen.,4.5,
19,eng,Sometimes he can be a strange guy.,3.4,
20,eng,I'll do my best not to disturb your studying.,2.7,
21,eng,I can only wonder if this is the same for everyone else.,2.4,
22,eng,I suppose it's different when you think about it over the long term.,2.6,
23,eng,I miss you.,4.2,
24,eng,I'll call them tomorrow when I come back.,4.7,
25,eng,I always liked mysterious characters more.,4.8,
26,eng,You should sleep.,4.6,
27,eng,I'm going to go.,3.9,
28,eng,I told them to send me another ticket.,4.4,
29,eng,You're so impatient with me.,4.5,
30,eng,I can't live that kind of life.,2.4,
31,eng,I once wanted to be an astrophysicist.,3.6,
32,eng,I never liked biology.,4.2,
33,eng,The last person I told my idea to thought I was nuts.,3.9,
34,eng,"If the world weren't in the shape it is now, I could trust anyone.",2.6,
35,eng,It is unfortunately true.,2.6,
36,eng,They are too busy fighting against each other to care for common ideals.,4.2,
37,eng,Most people think I'm crazy.,4.6,
38,eng,No I'm not; you are!,5,
39,eng,That's MY line!,5,
40,eng,He's kicking me!,4.9,
41,eng,Are you sure?,2.5,
42,eng,Then there is a problem...,4.2,
43,eng,"Oh, there's a butterfly!",3.5,
44,eng,Hurry up.,3.3,
45,eng,It doesn't surprise me.,4,
46,eng,For some reason I feel more alive at night.,3.9,
47,eng,It depends on the context.,4,
48,eng,Are you freaking kidding me?!,4.3,
49,eng,That's the stupidest thing I've ever said.,1.6,
50,eng,I don't want to be lame; I want to be cool!!,4.1,
51,eng,"When I grow up, I want to be a king.",4.2,
52,eng,"America is a lovely place to be, if you are here to earn money.",4.6,
53,eng,I'm so fat.,1.2,
54,eng,So what?,2.9,
55,eng,I'm gonna shoot him.,5,
56,eng,"I'm not a real fish, I'm just a mere plushy.",3.9,
57,eng,I'm just saying!,2.4,
58,eng,That was probably what influenced their decision.,2.7,
59,eng,I've always wondered what it'd be like to have siblings.,3.4,
60,eng,This is what I would have said.,4.3,
61,eng,It would take forever for me to explain everything.,4.5,
62,eng,That's because you're a girl.,4.7,
63,eng,Sometimes I can't help showing emotions.,2.3,
64,eng,It's a word I'd like to find a substitute for.,2.8,
65,eng,It would be something I'd have to program.,3.3,
66,eng,I don't intend to be selfish.,4.8,
67,eng,Let's consider the worst that could happen.,3.9,
68,eng,How many close friends do you have?,3,
69,eng,"I may be antisocial, but it doesn't mean I don't talk to people.",1.6,
70,eng,This is always the way it has been.,4.8,
71,eng,I think it is best not to be impolite.,4.3,
72,eng,One can always find time.,5,
73,eng,"I'd be unhappy, but I wouldn't kill myself.",4.3,
74,eng,"Back in high school, I got up at 6 a.m. every morning.",4.9,
75,eng,"When I woke up, I was sad.",2.3,
76,eng,That is somewhat explained at the end.,2.8,
77,eng,I thought you liked to learn new things.,2.7,
78,eng,Most people write about their daily life.,4.1,
79,eng,"If I could send you a marshmallow, Trang, I would.",3.8,
80,eng,"In order to do that, you have to take risks.",4.6,
81,eng,Every person who is alone is alone because they are afraid of others.,5,
82,eng,Why do you ask?,2.5,
83,eng,I am not an artist. I never had the knack for it.,1.9,
84,eng,I can't tell her now. It's not that simple anymore.,1.9,
85,eng,"I am a flawed person, but these are flaws that can easily be fixed.",4.2,
86,eng,"Whenever I find something I like, it's too expensive.",2.1,
87,eng,How long did you stay?,2.9,
88,eng,Maybe it will be exactly the same for him.,2.7,
89,eng,Innocence is a beautiful thing.,5,
90,eng,Humans were never meant to live forever.,5,
91,eng,"I don't want to lose my ideas, even though some of them are a bit extreme.",4.3,
92,eng,I think I have a theory about that.,2.8,
93,eng,That is intriguing.,4.3,
94,eng,You are saying you intentionally hide your good looks?,2.6,
95,eng,I do not have an account in these forums.,5,
96,eng,"If anyone was to ask what the point of the story is, I really don't know.",4.1,
97,eng,I didn't know where it came from.,2.4,
98,eng,I think my living with you has influenced your way of living.,3.4,
99,eng,This is not important.,4.9,
100,eng,I didn't like it.,4.9,
101,eng,She's asking how that's possible.,3.2,
102,eng,You're just running away from life's problems.,4.7,
103,eng,"If you look at the lyrics, they don't really mean much.",4.7,
104,eng,There's a problem there that you don't see.,4.7,
105,eng,You can do it.,5,
106,eng,My physics teacher doesn't care if I skip classes.,4.8,
107,eng,I wish I could go to Japan.,2.6,
108,eng,I hate it when there are a lot of people.,4.7,
109,eng,I have to go to bed.,4.6,
110,eng,"After that, I left, but then I realized that I forgot my backpack at their house.",4.1,
111,eng,I won't ask you anything else today.,2.9,
112,eng,It may freeze next week.,2.5,
113,eng,"Even though he apologized, I'm still furious.",4,
114,eng,The police will get you to find the bullets.,4.7,
