Word,Score
should,3.0
into,3.0
went,3.0
again,3.0
themselves,3.0
their,3.0
herself,3.0
himself,3.0
the,3.0
am,3.0
above,3.0
been,3.0
further,3.0
here,3.0
off,3.0
do,3.0
such,3.0
only,3.0
she,3.0
out,3.0
and,3.0
each,3.0
we,3.0
an,3.0
this,3.0
during,3.0
it,3.0
nor,3.0
will,3.0
being,3.0
but,3.0
because,3.0
does,3.0
doing,3.0
then,3.0
with,3.0
her,3.0
yours,3.0
to,3.0
against,3.0
own,3.0
same,3.0
on,3.0
as,3.0
some,3.0
of,3.0
there,3.0
these,3.0
after,3.0
under,3.0
were,3.0
down,3.0
from,3.0
you,3.0
ourselves,3.0
theirs,3.0
up,3.0
aint,3.0
his,3.0
no,3.0
had,3.0
so,3.0
hers,3.0
in,3.0
now,3.0
other,3.0
for,3.0
any,3.0
can,3.0
our,3.0
while,3.0
that,3.0
than,3.0
a,3.0
did,3.0
are,3.0
having,3.0
i,3.0
him,3.0
itself,3.0
or,3.0
all,3.0
he,3.0
have,3.0
not,3.0
before,3.0
them,3.0
my,3.0
has,3.0
was,3.0
by,3.0
between,3.0
if,3.0
until,3.0
at,3.0
both,3.0
through,3.0
ours,3.0
those,3.0
is,3.0
they,3.0
let,3.6454545454545455
us,3.4650000000000007
try,3.775
something,3.3
go,3.78
sleep,3.6866666666666665
today,3.8764705882352937
june,4.2
muiriels,4.2
birthday,3.95
muiriel,4.4
password,4.25
be,3.7241379310344818
back,4.007142857142857
soon,3.78
loss,3.3666666666666667
words,3.56
never,3.640625
going,3.548275862068966
end,3.025
just,3.427272727272728
know,3.103571428571428
what,3.159090909090909
say,2.8411764705882345
evil,4.2
bunny,4.2
mountains,4.6
recent,3.1
picture,3.15
time,3.7
education,3.975
world,3.8708333333333336
disappoints,4.5
me,3.625862068965519
better,4.343877551020408
shape,3.966666666666667
way,4.142105263157895
may,3.262962962962962
give,3.7
nap,2.2
instead,2.1666666666666665
want,3.336585365853659
alone,4.24
happen,4.116666666666666
sometimes,2.65
strange,3.4
guy,3.4
best,4.171428571428572
disturb,2.7
your,3.980314960629922
studying,2.95
wonder,3.133333333333333
everyone,3.8
else,3.5714285714285707
suppose,2.833333333333333
different,3.5666666666666664
when,3.4433962264150937
think,3.4435897435897425
about,3.4562500000000003
over,3.608333333333334
long,3.378571428571429
term,2.6
miss,3.45
call,3.911111111111112
tomorrow,4.050000000000001
come,3.884
always,3.665217391304348
liked,4.125
mysterious,4.2
characters,4.8
more,3.774999999999999
told,3.9444444444444446
send,4.075
another,3.65
ticket,4.1
impatient,4.5
cannot,3.472727272727273
live,3.89375
kind,3.25
life,3.597826086956521
once,4.133333333333334
wanted,3.5857142857142854
astrophysicist,3.6
biology,4.2
last,3.4909090909090903
person,4.038461538461538
idea,3.590909090909091
thought,2.716666666666667
nuts,3.9
could,2.9173913043478263
trust,3.66
anyone,3.0571428571428574
unfortunately,2.6
true,3.2181818181818183
too,3.763265306122448
busy,3.766666666666667
fighting,4.2
care,3.6800000000000006
common,4.2
ideals,3.4000000000000004
most,3.9533333333333327
people,3.693181818181819
crazy,3.68
line,4.04
kicking,4.9
sure,3.5
problem,3.4666666666666663
oh,2.766666666666667
butterfly,3.5
hurry,3.5
surprise,3.3666666666666667
reason,4.25
feel,3.6800000000000006
alive,3.233333333333333
night,3.49
depends,3.3
context,4.4
freaking,4.3
kidding,4.3
stupidest,1.6
thing,3.9099999999999993
ever,2.723076923076923
said,3.608333333333334
lame,4.1
cool,4.1
grow,2.7
king,3.675
america,4.6
lovely,4.6
place,3.483333333333333
earn,4.6
money,3.9500000000000006
fat,3.0500000000000003
shoot,5.0
real,3.6166666666666663
fish,4.45
mere,3.9
plushy,3.9
saying,2.76
probably,3.2
influenced,3.05
