OG_Index,Word,Score
13670,oven,1.0
13673,flowing,1.0
13667,naan,1.0
13674,chao,1.0
13672,ping,1.0
13669,leavened,1.0
519,dumb,1.0
13675,thailand,1.0
13671,nan river,1.0
7642,habitual,1.0
10082,ages,1.010800809507596
18482,mute,1.0206018032963102
13676,phraya,1.0648648731213175
18483,deaden,1.0660335665439125
11577,tangle,1.0662440522009562
11567,prisoners,1.070031731238099
7933,humor,1.0722597360710246
13668,teardrop,1.0740595685238388
18484,deafness,1.088094328475083
2565,whooped,1.1
2579,wages,1.1
2016,map,1.1
2564,ass,1.1
11560,tighten,1.1045612290455955
11554,piece of ass,1.1112298916847367
22315,sense of humor,1.112948841092237
17153,argentina,1.122292584647664
11574,matted,1.131135507165919
22311,ingenuity,1.135571050666154
397,express,1.138433848849811
18485,obtuse,1.1474230187184635
11568,similarly,1.149993373664561
17148,infancy,1.1531084960545246
22310,humour,1.15466611532085
22317,wittiness,1.1586007577026736
25546,tighten up,1.1621715178709728
21218,spaced,1.1635826644254756
11557,screw,1.1783931441502289
1917,middle,1.1851942358161944
22312,bodily fluid,1.1872961059403402
7941,amusement,1.1902663048478512
11552,nookie,1.1916525149284678
2484,earnest,1.2
1213,trangs,1.2
372,idiot,1.2
2127,research,1.2
1215,affirmations,1.2
2563,destroyed,1.2
2483,jest,1.2
7931,jocularity,1.208332520188498
12531,cracked,1.209529834961701
11570,inclinedplane,1.210522071107112
3245,temporary,1.2139853679589214
7938,teasing,1.2203271043560229
7937,grotesque,1.2206269242202656
17152,moron,1.2233245402329134
12542,separated,1.2267387721828702
22316,sense of humour,1.2276721355368896
22313,body fluid,1.2279822764708488
18235,map out,1.2300315800241637
14572,distracted,1.2376147841409848
18486,apex,1.238012457259627
25453,apex of the suns way,1.238012457259627
7949,unsuccessful,1.2406429087583883
12707,cells,1.2424825142825433
22314,liquid body substance,1.2428756997457344
7950,jokes,1.2450747153424542
15233,businessman,1.2451391449849734
24744,temp,1.2451861982953782
11565,screwing,1.247478423133989
15237,conservationist,1.247855842023583
11559,angled,1.2485713889887908
24746,impermanent,1.2496981072770597
11573,shag,1.257161671443607
18234,singlevalued function,1.264182712120754
19097,avowal,1.266147544736978
