,Word,Score
0,should,3.0
1,into,4.2
2,went,3.0
3,again,2.4
4,themselves,4.5
5,their,3.0
6,herself,3.0
7,himself,3.0
8,the,4.6
9,am,2.6
10,above,3.0
11,been,3.0
12,further,3.0
13,here,3.0
14,off,4.0
15,do,3.5
16,such,3.4
17,only,3.8
18,she,3.0
19,out,3.3
20,and,3.2
21,each,2.9
22,we,3.0
23,an,4.7
24,this,3.0
25,during,3.0
26,it,4.6
27,nor,3.0
28,will,3.8
29,being,3.5
30,but,3.4
31,because,3.7
32,does,3.0
33,doing,4.1
34,then,4.4
35,with,3.5
36,her,3.0
37,yours,3.0
38,to,3.4
39,against,3.2
40,own,3.0
41,same,3.9
42,on,4.2
43,as,3.3
44,some,3.6
45,of,4.1
46,there,3.0
47,these,3.0
48,after,3.2
49,under,3.0
50,were,3.0
51,down,2.8
52,from,3.9
53,you,2.0
54,ourselves,3.0
55,theirs,3.0
56,up,4.5
57,aint,3.2
58,his,3.0
59,no,3.0
60,had,3.0
61,so,3.0
62,hers,3.0
63,in,3.4
64,now,3.0
65,other,4.1
66,for,3.9
67,any,3.0
68,can,3.0
69,our,3.0
70,while,3.0
71,that,2.6
72,than,3.0
73,a,4.4
74,did,3.0
75,are,3.0
76,having,3.0
77,i,5.0
78,him,3.6
79,itself,3.0
80,or,3.8
81,all,3.6
82,he,3.0
83,have,4.7
84,not,3.4
85,before,3.0
86,them,3.3
87,my,3.0
88,has,3.0
89,was,3.0
90,by,3.8
91,between,3.1
92,if,2.8
93,until,3.0
94,at,3.6
95,both,3.0
96,through,3.4
97,ours,3.0
98,those,3.0
99,is,3.5
100,they,3.0
101,let,4.9
102,us,4.0
103,try,3.7
104,something,3.4
105,go,3.3
106,sleep,3.3
107,today,3.8
108,june,4.2
109,muiriels,4.2
110,birthday,3.9
111,muiriel,4.4
112,password,4.2
113,be,3.7
114,back,4.6
115,soon,3.9
116,loss,1.8
117,words,4.6
118,never,3.6
119,going,3.4
120,end,3.3
121,just,3.5
122,know,3.1
123,what,3.1
124,say,1.4
125,evil,4.4
126,bunny,4.2
127,mountains,4.4
128,recent,3.1
129,picture,3.4
130,time,3.9
131,education,3.9
132,world,4.5
133,disappoints,4.5
134,me,3.7
135,better,4.3
136,shape,3.5
137,way,4.2
138,may,4.9
139,give,4.4
140,nap,2.2
141,instead,2.1
142,want,4.9
143,alone,4.2
144,happen,4.8
145,sometimes,3.3
146,strange,3.7
147,guy,3.4
148,best,4.1
149,disturb,3.5
150,your,3.9
151,studying,2.9
152,wonder,3.1
153,everyone,3.8
154,else,2.1
155,suppose,2.8
156,different,3.8
157,when,3.4
158,think,3.4
159,about,4.9
160,over,4.5
161,long,3.4
162,term,2.6
163,miss,3.0
164,call,3.9
165,tomorrow,4.0
166,come,3.6
167,always,3.6
168,liked,4.1
169,mysterious,4.2
170,characters,4.8
171,more,3.9
172,told,3.9
173,send,4.0
174,another,2.7
175,ticket,4.1
176,impatient,4.5
177,cannot,3.4
178,live,3.8
179,kind,3.5
180,life,3.6
181,once,4.1
182,wanted,3.5
183,astrophysicist,3.6
184,biology,3.5
185,last,3.6
186,person,3.2
187,idea,3.0
188,thought,4.3
189,nuts,3.9
190,could,2.9
191,trust,4.8
192,anyone,3.0
193,unfortunately,2.6
194,true,4.5
195,too,3.7
196,busy,3.3
197,fighting,4.1
198,care,3.3
199,common,4.2
200,ideals,3.4
201,most,3.9
202,people,3.6
203,crazy,3.6
204,line,3.7
205,kicking,4.9
206,sure,3.6
207,problem,3.4
208,oh,2.7
209,butterfly,3.5
210,hurry,3.5
211,surprise,3.4
212,reason,4.2
213,feel,3.6
214,alive,3.2
215,night,3.2
216,depends,3.3
217,context,4.4
218,freaking,4.3
219,kidding,4.3
220,stupidest,1.6
221,thing,2.6
222,ever,3.6
223,said,3.6
224,lame,4.1
225,cool,4.1
226,grow,2.7
227,king,4.7
228,america,3.1
229,lovely,4.6
230,place,3.1
231,earn,4.6
232,money,3.9
233,fat,4.6
234,shoot,3.6
235,real,3.2
236,fish,3.8
237,mere,3.9
238,plushy,3.9
239,saying,2.7
240,probably,3.2
241,influenced,3.0
242,decision,3.8
243,wondered,3.0
244,would,5.0
245,like,3.2
246,siblings,2.7
247,take,3.7
248,forever,4.7
249,explain,4.2
250,everything,3.1
251,girl,3.7
252,help,3.4
253,showing,3.9
254,emotions,4.1
255,word,3.8
256,find,3.6
257,substitute,2.8
258,program,3.1
259,intend,4.8
260,selfish,3.7
261,consider,4.1
262,worst,3.2
263,how,5.0
264,many,3.0
265,close,3.4
266,friends,4.8
267,antisocial,1.6
268,mean,3.4
269,talk,3.4
270,impolite,4.3
271,one,2.5
272,unhappy,3.5
273,kill,4.2
274,myself,3.2
275,high,3.3
276,school,3.3
277,got,3.8
278,every,3.6
279,morning,3.5
280,woke,3.2
