Rank,OG_Index,Word,Score
0,13670,oven,1.0
1,13673,flowing,1.0
2,13667,naan,1.0
3,13674,chao,1.0
4,13672,ping,1.0
5,13669,leavened,1.0
6,519,dumb,1.0
7,13675,thailand,1.0
8,13671,nan river,1.0
9,7642,habitual,1.0
10,10082,ages,1.0
11,18482,mute,1.0
12,13676,phraya,1.0
13,18483,deaden,1.0
14,11577,tangle,1.0
15,11567,prisoners,1.0
16,7933,humor,1.0
17,13668,teardrop,1.0
18,18484,deafness,1.0
19,2565,whooped,1.1
20,2579,wages,1.1
21,2016,map,1.1
22,2564,ass,1.1
23,11560,tighten,1.1
24,11554,piece of ass,1.1
25,22315,sense of humor,1.1
26,17153,argentina,1.1
27,11574,matted,1.1
28,22311,ingenuity,1.1
29,397,express,1.1
30,18485,obtuse,1.1
31,11568,similarly,1.1
32,17148,infancy,1.1
33,22310,humour,1.1
34,22317,wittiness,1.1
35,25546,tighten up,1.1
36,21218,spaced,1.1
37,11557,screw,1.1
38,1917,middle,1.1
39,22312,bodily fluid,1.1
40,7941,amusement,1.1
41,11552,nookie,1.1
42,2484,earnest,1.2
43,1213,trangs,1.2
44,372,idiot,1.2
45,2127,research,1.2
46,1215,affirmations,1.2
47,2563,destroyed,1.2
48,2483,jest,1.2
49,7931,jocularity,1.2
50,12531,cracked,1.2
51,11570,inclinedplane,1.2
52,3245,temporary,1.2
53,7938,teasing,1.2
54,7937,grotesque,1.2
55,17152,moron,1.2
56,12542,separated,1.2
57,22316,sense of humour,1.2
58,22313,body fluid,1.2
59,18235,map out,1.2
60,14572,distracted,1.2
61,18486,apex,1.2
62,25453,apex of the suns way,1.2
63,7949,unsuccessful,1.2
64,12707,cells,1.2
65,22314,liquid body substance,1.2
66,7950,jokes,1.2
67,15233,businessman,1.2
68,24744,temp,1.2
69,11565,screwing,1.2
70,15237,conservationist,1.2
71,11559,angled,1.2
72,24746,impermanent,1.2
73,11573,shag,1.2
74,18234,singlevalued function,1.2
75,19097,avowal,1.2
76,17155,aires,1.2
77,22729,hoop,1.2
78,11556,roll in the hay,1.2
79,11571,shank,1.2
80,27150,early childhood,1.2
81,7934,merriment,1.2
82,12541,baskets,1.2
83,17150,cretin,1.2
84,11553,nooky,1.2
85,11903,tint,1.2
86,11555,piece of tail,1.2
87,12539,fodder,1.2
88,7947,quips,1.2
89,2350,justify,1.3
90,426,bother,1.3
91,2478,meals,1.3
92,1730,guard,1.3
93,424,sudoku,1.3
94,425,continuing,1.3
95,2451,fastball,1.3
96,7935,joke,1.3
97,10353,judiciousness,1.3
98,22936,man of affairs,1.3
99,15229,escort,1.3
100,17156,retard,1.3
101,17154,buenos,1.3
102,15225,sentry,1.3
103,17147,changeling,1.3
104,16905,repast,1.3
105,19096,avouchment,1.3
106,11324,delineate,1.3
107,17210,barleycorn,1.3
108,11566,slotted,1.3
109,27149,babyhood,1.3
110,17592,enquiry,1.3
111,21220,disjointed,1.3
112,14571,businesslike,1.3
113,14508,elections,1.3
114,22728,basketball hoop,1.3
115,2562,terrible,1.3
116,7945,gag,1.3
117,15236,suite,1.3
118,12540,coverings,1.3
119,25454,solar apex,1.3
120,19665,pain in the ass,1.3
121,8039,cereal,1.3
122,22732,handbasket,1.3
123,14573,devout,1.3
124,19669,disoblige,1.3
125,19666,pain in the neck,1.3
126,15227,sentry go,1.3
127,7951,jape,1.3
128,11558,spirally,1.3
129,22730,field goal,1.3
130,25455,vertex,1.3
131,15231,mailorder,1.3
132,4892,executive,1.3
133,15226,sentry duty,1.3
134,11579,shredded,1.3
135,11562,propeller,1.3
136,22418,cleverly,1.3
137,19667,discommode,1.3
138,7936,triviality,1.3
139,11564,tapered,1.3
140,7932,facetious,1.3
141,15425,fearsome,1.3
142,386,uh,1.4
143,1750,apartment,1.4
144,2081,nowhere,1.4
145,502,understands,1.4
146,2410,interested,1.4
147,2056,overprotective,1.4
148,2055,cares,1.4
149,22417,bantering,1.4
150,15234,suffrage,1.4
151,12536,strawcolored,1.4
152,22419,tongueincheek,1.4
153,12529,wheat berry,1.4
154,24745,temporary worker,1.4
155,21221,dislocated,1.4
156,11563,threaded,1.4
157,19089,volcano,1.4
158,19088,honshu,1.4
159,19664,botheration,1.4
160,19670,incommode,1.4
161,12537,hats,1.4
162,19091,erupted,1.4
163,1824,danger,1.4
164,18687,surrendering,1.4
165,15230,ward,1.4
166,12533,pale yellow,1.4
167,12530,grains,1.4
168,11561,guards,1.4
169,1860,rooms,1.4
170,15424,dreaded,1.4
171,10351,forethought,1.4
172,18688,enumerates,1.4
173,15224,guard duty,1.4
174,1600,blame,1.4
175,10138,colony,1.4
176,3101,football,1.4
177,18684,come down,1.4
178,11569,motions,1.4
179,27809,safeconduct,1.4
180,15228,safeguard,1.4
181,7942,humorously,1.4
182,124,say,1.4
183,13640,vindicate,1.4
184,12532,flour,1.4
185,10359,give care,1.4
186,16296,opponents,1.4
187,22731,basketful,1.4
188,7944,anecdote,1.4
189,17114,bullet,1.4
190,10352,plotting,1.4
191,18689,accrue,1.4
192,17149,exchanged,1.4
193,7946,vomit,1.4
194,2343,occurred,1.5
195,2201,trouble,1.5
196,15426,frightening,1.5
197,9123,summarize,1.5
198,9088,fiction,1.5
199,18686,capitulation,1.5
200,15423,direful,1.5
201,11431,disadvantageous,1.5
202,20716,activation,1.5
203,18690,fall down,1.5
204,10357,precautionary,1.5
205,15198,decay,1.5
206,13260,accusation,1.5
207,13793,potent,1.5
208,16744,enrolling,1.5
209,2818,state,1.5
210,9097,standin,1.5
211,12538,scattering,1.5
212,19090,snowcapped,1.5
213,19668,inconvenience,1.5
214,10355,precaution,1.5
215,21943,worriment,1.5
216,28004,summarise,1.5
217,13791,briefer,1.5
218,2390,younger,1.6
219,2374,traveled,1.6
220,1878,colonize,1.6
221,2366,mt,1.6
222,2365,climbed,1.6
223,220,stupidest,1.6
224,1926,showed,1.6
225,1927,neighborhood,1.6
226,267,antisocial,1.6
227,2310,registration,1.6
228,2028,repeat,1.6
229,2367,fuji,1.6
230,9093,factor,1.6
231,9092,meanings,1.6
232,12022,peril,1.6
233,19086,fujisan,1.6
234,19085,prunus incisa,1.6
235,3772,harm,1.6
236,9087,retell,1.6
237,12937,inhabitants,1.6
238,18685,reprimand,1.6
239,9086,restate,1.6
240,3572,suit,1.6
241,17644,extension,1.6
242,19094,mount fuji,1.6
243,10356,practicing,1.6
244,9083,ingeminate,1.6
245,1219,broken,1.6
246,10733,colonise,1.6
247,20710,denizen,1.6
248,12939,humanity,1.6
249,9118,reduplication,1.6
250,13802,meitnerium,1.6
251,9116,identically,1.6
252,9120,recapitulate,1.6
253,8093,maintain,1.6
254,14211,alcoholic beverage,1.6
255,13806,machine translation,1.6
256,27796,strewing,1.6
257,13789,metabolism,1.6
258,13800,tonne,1.6
259,16742,enrollment,1.6
260,9085,reiterate,1.6
261,13794,exerts,1.6
262,14212,brew,1.6
263,16746,enrolment,1.6
264,9091,raising,1.6
265,13796,thyroid,1.6
266,16743,enroll,1.6
267,12938,human race,1.6
268,10358,impending,1.6
269,14995,asocial,1.6
270,17647,travelled,1.6
271,12024,incurring,1.6
272,26955,anchored,1.6
273,16745,readjustment,1.6
274,12940,humane,1.6
275,9102,dissimilar,1.6
276,17646,disregarded,1.6
277,13803,mont,1.6
278,352,japan,1.6
279,9122,embryonic,1.6
280,26386,humanness,1.6
281,20712,inhabits,1.6
282,8602,jr,1.6
283,2047,twenty,1.7
284,2276,guys,1.7
285,2573,excite,1.7
286,2445,kept,1.7
287,2048,bucks,1.7
288,10473,peak,1.7
289,3124,contract,1.7
290,19087,pilgrimages,1.7
291,14719,dollars,1.7
292,12023,undertaken,1.7
293,9115,identical,1.7
294,20715,indweller,1.7
295,13799,iodine,1.7
296,9084,iterate,1.7
297,19595,introduction,1.7
298,13787,metric ton,1.7
299,20713,dweller,1.7
300,8384,neck of the woods,1.7
301,21454,conserve,1.7
302,9107,twofold,1.7
303,17641,unbroken,1.7
304,19597,alternates,1.7
305,14213,alcoholic drink,1.7
306,8386,neighbourhood,1.7
307,9119,replicate,1.7
308,14214,inebriant,1.7
309,21453,asseverate,1.7
310,8385,surrounding,1.7
311,22582,thyroid gland,1.7
312,14736,upshot,1.7
313,14646,letter of the alphabet,1.7
314,13795,oxidation,1.7
315,8387,vicinity,1.7
316,14645,alphabetic character,1.7
